id	filename	md5	size	state
1d8697f1-4e89-4987-b26b-a29d791f19ca	1d8697f1-4e89-4987-b26b-a29d791f19ca/7d2b6ff4-8f35-41cf-b078-3e78d0b81800.rna_seq.augmented_star_gene_counts.tsv	fd3a1e9594e49324f9499fac9e31fcdf	4232606	validated
1db8a1bb-fef2-4e06-9cd5-a1f6579573a5	1db8a1bb-fef2-4e06-9cd5-a1f6579573a5/c24618ee-27b7-4760-99d1-fa9b338f05c4.rna_seq.augmented_star_gene_counts.tsv	d1f6bbaca6de124a4e1290ed1860368e	4244597	validated
1dd5828f-8e81-4196-992f-70b8203c915f	1dd5828f-8e81-4196-992f-70b8203c915f/e4e983eb-2aa3-4858-b67f-9cc70452768c.rna_seq.augmented_star_gene_counts.tsv	920ed53e93c9ebde50c48bff6750e3e2	4248910	validated
1eca5ea8-093a-494d-968b-2ffcfe2b4604	1eca5ea8-093a-494d-968b-2ffcfe2b4604/1cb7f73e-af63-4d6a-b6a1-fe289435a93f.rna_seq.augmented_star_gene_counts.tsv	dca828ae93845a901b345199410a5733	4241317	validated
1f224847-d745-4dc5-9338-4044413e8ec4	1f224847-d745-4dc5-9338-4044413e8ec4/2db5e0aa-342e-4766-8725-c1d677fd52b2.rna_seq.augmented_star_gene_counts.tsv	a337b0d6fed67a60f56a14c56a480650	4252712	validated
20e1a6f6-c34f-4744-9b2a-392ea074ebe2	20e1a6f6-c34f-4744-9b2a-392ea074ebe2/d1d3d623-2de6-4d6f-b2a3-a50758f46b64.rna_seq.augmented_star_gene_counts.tsv	5414410d743424cdbfaea156f4476cfb	4259282	validated
22dad91c-889d-4d40-b9b8-c9facd752dc9	22dad91c-889d-4d40-b9b8-c9facd752dc9/8319b13e-475e-440f-855a-bdba3036db73.rna_seq.augmented_star_gene_counts.tsv	c086a60ea336554988cc0b563a992715	4231239	validated
236805b9-ea89-43b4-ba51-c09276778e90	236805b9-ea89-43b4-ba51-c09276778e90/0bceb3fb-af69-4427-8ce1-767da4b31c37.rna_seq.augmented_star_gene_counts.tsv	96abd8c1bdc92d41c491fd423a7dee45	4237836	validated
28ecd88f-6249-425c-99e1-9055989feff8	28ecd88f-6249-425c-99e1-9055989feff8/768e0380-9183-4600-849b-0d315ba502fc.rna_seq.augmented_star_gene_counts.tsv	c7a3d195732fbefdacfa4ade967acf58	4244622	validated
2a09e101-9e01-45ec-9b02-d806f4cd7469	2a09e101-9e01-45ec-9b02-d806f4cd7469/ba6e6579-8858-467a-9d0b-b8df38cd5d62.rna_seq.augmented_star_gene_counts.tsv	fbe91eaa8fdd7066fe1667e22c40eb6b	4201892	validated
2a73e390-7415-486e-8d15-d9ea6ede09ba	2a73e390-7415-486e-8d15-d9ea6ede09ba/5b875575-24fd-40c1-910c-38775c73004e.rna_seq.augmented_star_gene_counts.tsv	424b7b15644d073cc47ba937fd406027	4238674	validated
31180222-da6e-4106-9b49-09be93d68138	31180222-da6e-4106-9b49-09be93d68138/7289e7d5-65af-4d53-a4de-2691991d90d6.rna_seq.augmented_star_gene_counts.tsv	2931bd7bc9dc967d508b0e68a39b7f62	4245219	validated
3253f315-5ea3-44fc-899f-f9e8f5b6fa96	3253f315-5ea3-44fc-899f-f9e8f5b6fa96/01f6286b-8422-4f16-bec3-871c86396790.rna_seq.augmented_star_gene_counts.tsv	47ce58e09da2a59df3358137c045d0aa	4229284	validated
34d68427-f4e7-4c9e-97ee-c853519961fb	34d68427-f4e7-4c9e-97ee-c853519961fb/f3eb5b26-5414-454f-a01f-a282b0369596.rna_seq.augmented_star_gene_counts.tsv	b8e908680f1918043571a76ba7a1082f	4241810	validated
35fd75aa-21e8-49c0-8b40-159839c3cc19	35fd75aa-21e8-49c0-8b40-159839c3cc19/7de22a44-8f58-4a73-90a3-a16d161160e8.rna_seq.augmented_star_gene_counts.tsv	b0c46031272e8c209a2eab5edbb73e57	4241494	validated
36e4ffb0-0bab-4035-88f1-a181b195fce1	36e4ffb0-0bab-4035-88f1-a181b195fce1/d78126ec-68b1-4d77-bf7a-19a47678a5fb.rna_seq.augmented_star_gene_counts.tsv	4b71eb19d00c7303f4fb95912bba60ec	4236185	validated
37939d7d-074b-42b7-8d68-95a8afef4c38	37939d7d-074b-42b7-8d68-95a8afef4c38/41bdc474-8e6e-4f39-98ec-6d73ee41837c.rna_seq.augmented_star_gene_counts.tsv	29cda5073bc2a0c72501fd745f2bb1fc	4240259	validated
37af19f9-56f9-48ec-97a9-5b0b6e364293	37af19f9-56f9-48ec-97a9-5b0b6e364293/a37efe02-9662-4b90-8251-003ccb96aed4.rna_seq.augmented_star_gene_counts.tsv	478d2e0ca49bab7a8040ef26dc222cc6	4231059	validated
391a3465-d22e-424b-af09-3e6342159bbb	391a3465-d22e-424b-af09-3e6342159bbb/ed1fa4ae-5e58-465c-b106-379f7456656e.rna_seq.augmented_star_gene_counts.tsv	6a8916b639106db09425e54a40adf795	4251308	validated
39e5a93f-7474-44f8-974a-7ce44f909002	39e5a93f-7474-44f8-974a-7ce44f909002/e88a6a51-24b3-4b52-bd5a-f306f1c9e0d9.rna_seq.augmented_star_gene_counts.tsv	6aab2c4346bb9a2e0478002f332c1165	4248157	validated
3a0c96d3-4cea-44a3-99e5-71622279700f	3a0c96d3-4cea-44a3-99e5-71622279700f/1bc678a3-1850-4ab6-874b-d68992fddc7b.rna_seq.augmented_star_gene_counts.tsv	e1050cfa182f26170b0acf2e5c6ce7f1	4247488	validated
40ad8a2a-abd2-4701-b984-4afa4c27c260	40ad8a2a-abd2-4701-b984-4afa4c27c260/9d2a209e-f610-4bde-8265-ef7e7e7ac0c4.rna_seq.augmented_star_gene_counts.tsv	2e1903f64807fa5cd0ffe55c35becc87	4238612	validated
41e96cc6-43d5-4eea-bbd3-23fb389d5532	41e96cc6-43d5-4eea-bbd3-23fb389d5532/b9e82597-fdf2-4479-a764-29193ddbd58f.rna_seq.augmented_star_gene_counts.tsv	15cad6ce44bd46a89c0bb741805036c6	4248082	validated
43820fe3-a899-4e6b-9227-27e32edaefd5	43820fe3-a899-4e6b-9227-27e32edaefd5/fc70931f-4a97-4538-b055-8ed988ab601c.rna_seq.augmented_star_gene_counts.tsv	cb089d7be1f0d606a9ad54e5244702fc	4243947	validated
440bdce7-eb0c-4661-b96a-e90d10e230d6	440bdce7-eb0c-4661-b96a-e90d10e230d6/d76cd13a-0481-442a-bfe6-ad322fc3851a.rna_seq.augmented_star_gene_counts.tsv	6e3e51f2574e710987b86e0fc2e7dcc8	4230776	validated
451ecdf8-433f-4d38-8ab6-3cc8d428ed95	451ecdf8-433f-4d38-8ab6-3cc8d428ed95/d7eb3fb0-7bfe-4f69-b298-41dde09902e6.rna_seq.augmented_star_gene_counts.tsv	ae14b0d5aa8904bb75c55cf5736c4880	4256048	validated
4660cd29-08ac-452c-9bb8-10e9d9e906ab	4660cd29-08ac-452c-9bb8-10e9d9e906ab/45f837c9-6b9e-4eed-ba56-9715b4a0356d.rna_seq.augmented_star_gene_counts.tsv	73434fccab79dbc24e23229ce0c9c39e	4242875	validated
466bf078-4844-457e-8f59-7b0ca28024d8	466bf078-4844-457e-8f59-7b0ca28024d8/ec60e081-f075-4c72-b1e7-62e1f1429fc1.rna_seq.augmented_star_gene_counts.tsv	8b9d2b58f89cefbbb3a9236a1548357e	4234823	validated
46933fec-1800-4da5-814c-30cce4ae2fb5	46933fec-1800-4da5-814c-30cce4ae2fb5/afd15ee9-ef38-4d14-b1c1-7f4267fe6a04.rna_seq.augmented_star_gene_counts.tsv	7ae7824aaef02fa2c5902b6b08862a3c	4243311	validated
4b558a24-b10c-4d59-a921-10e6a3a9fb35	4b558a24-b10c-4d59-a921-10e6a3a9fb35/3621ce2e-a1eb-4a45-ac06-779a780b0b99.rna_seq.augmented_star_gene_counts.tsv	bacf26b636b4a4e27a8292879179c314	4257373	validated
4c2a67aa-54ef-405d-a498-45c1790380da	4c2a67aa-54ef-405d-a498-45c1790380da/4e75f67b-99df-4ad5-a2ca-1877a3d45655.rna_seq.augmented_star_gene_counts.tsv	410b5e73bc151dc82508c7a03ae21897	4250650	validated
4c75e72b-db9f-425b-9f14-946ee801071e	4c75e72b-db9f-425b-9f14-946ee801071e/b3d432d6-0b86-4407-98e2-99c1971283a8.rna_seq.augmented_star_gene_counts.tsv	b861224716d67178066c7615edee72ec	4250972	validated
4d0dcaac-cf91-4737-931d-f308fb20df9d	4d0dcaac-cf91-4737-931d-f308fb20df9d/a0baf653-6f10-46fe-959c-54268fbc670e.rna_seq.augmented_star_gene_counts.tsv	9aa0e4f21a6175192626bfa78e68e2da	4219849	validated
